kedb_parent_name,kedb_child_name,app_name,old_kedb,new_symtom_kedb,new_specific_symtom_kedb,kedb_finalisasi,action,responsibility_action,sop
,,CUG,,,,[]CUG[]Gagal_Remove_Whitelist[]Offer_Status_Active_Unsync_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Remove_Whitelist[]Offer_Status_Inactive_Unsync_TC[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Upload_Whitelist[]MSISDN_in_RESERVED_Status[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Upload_Whitelist[]Unsync_HLR[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Upload_Whitelist[]Update_Status_Whitelist_Pending[]Complaint,,,
,,CUG,,,,[]CUG[]Gagal_Upload_Whitelist[]Validate_WhiteList_Status[]Complaint,,,
,,CUG,,,,[]CUG[]Kendala_User_Access[]Reset_Password[]Complaint,,,
,,CUG,,,,[]CUG[]Kendala_User_Access[]Unlock_Status_User[]Complaint,,,
,,CUG,,,,[]CUG[]Ketidaksesuaian_Benefit[]Offer_Active_TC&Transaction[]Complaint,,,
,,CUG,,,,[]CUG[]Missed_Assigned[]Check_Result_Not_Found[]Complaint,,,
,,CUG,,,,[]CUG[]Undefined[]Identify_Case[]Complaint,,,
,,DSC,,,,[]DSC[]AddOffer_Failed[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]AddOffer_NotEligible[]ValidateLogtoESB[]Complaint,,,
,,DSC,,,,[]DSC[]CheckProfile_LihatHLR[]ValidateProfile[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_BenefitKuotaTidakSesuai[]ValidateProfiletoUPCC[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_BenefitTelponTidakTampil[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CheckProfile[]Validateprofile[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CLSIRUnsyncTC[]ValidateProfiletoTC[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CLSTagihanSementaraUnsyncTC[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CLSTerbaca0[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CLSTombolRemoveKosong[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_CLSUnsyncTC[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_MenuHirarkiTidakTampil[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_MSISDTidakDitemukan[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_OfferUnsyncTC[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_PaketTidakTampil[]ValidateLog[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_ProfileUnsyncTC[]Msisdn_Tampil_Postpaid[]Complaint,,,
,,DSC,,,,[]DSC[]Dashboard_ProfileUnsyncTC[]Msisdn_Tampil_Prepaid[]Complaint,,,
,,DSC,,,,[]DSC[]DetailPanggilan_CheckCallDetail[]CheckMenuIndira_ProvideData[]Complaint,,,
,,DSC,,,,[]DSC[]DetailUPCC_CheckHistory[]CheckMenuIndira_ProvideData[]Complaint,,,
